app,appLabel
http://www.wikidata.org/entity/Q219983,Zoo
http://www.wikidata.org/entity/Q182293,LIT
http://www.wikidata.org/entity/Q114409,Turtle
http://www.wikidata.org/entity/Q336316,MPEG-4 Part 14
http://www.wikidata.org/entity/Q352455,Adaptive Multi-Rate Wideband
http://www.wikidata.org/entity/Q370344,Open Publication Distribution System Catalog
http://www.wikidata.org/entity/Q370979,Amigaguide
http://www.wikidata.org/entity/Q383305,afio
http://www.wikidata.org/entity/Q368782,LHA
http://www.wikidata.org/entity/Q452197,Systems Biology Markup Language
http://www.wikidata.org/entity/Q380665,PLS
http://www.wikidata.org/entity/Q281876,YAML
http://www.wikidata.org/entity/Q194831,Cabinet
http://www.wikidata.org/entity/Q288256,ACE
http://www.wikidata.org/entity/Q296496,ARC
http://www.wikidata.org/entity/Q207819,Standard Generalized Markup Language
http://www.wikidata.org/entity/Q253363,JavaHelp
http://www.wikidata.org/entity/Q285972,Mbox
http://www.wikidata.org/entity/Q379324,Advanced Authoring Format
http://www.wikidata.org/entity/Q426674,Temporary file
http://www.wikidata.org/entity/Q1054220,ID3
http://www.wikidata.org/entity/Q3063023,FASTQ format
http://www.wikidata.org/entity/Q3334595,NUT Open Container Format
http://www.wikidata.org/entity/Q219763,MPEG-4
http://www.wikidata.org/entity/Q86920,text file
http://www.wikidata.org/entity/Q268086,OMDoc
http://www.wikidata.org/entity/Q292565,vCalendar
http://www.wikidata.org/entity/Q296195,Attention Profiling Mark-up Language
http://www.wikidata.org/entity/Q296924,ART image file format
http://www.wikidata.org/entity/Q307271,.DS_Store
http://www.wikidata.org/entity/Q309440,WebM
http://www.wikidata.org/entity/Q336284,MPEG-1
http://www.wikidata.org/entity/Q375296,ICC profile
http://www.wikidata.org/entity/Q388046,X-Face
http://www.wikidata.org/entity/Q463244,Windows Registry
http://www.wikidata.org/entity/Q474112,JHTML
http://www.wikidata.org/entity/Q433224,APNG
http://www.wikidata.org/entity/Q1570593,Ogg Media
http://www.wikidata.org/entity/Q285296,cpio
http://www.wikidata.org/entity/Q3353182,Open Packaging Conventions
http://www.wikidata.org/entity/Q176061,Virtual Reality Modeling Language
http://www.wikidata.org/entity/Q183169,JavaServer Pages
http://www.wikidata.org/entity/Q205748,Portable Game Notation
http://www.wikidata.org/entity/Q209054,"Audio Video Interleave, version 1.0"
http://www.wikidata.org/entity/Q218170,PostScript
http://www.wikidata.org/entity/Q258778,Extensible Application Markup Language
http://www.wikidata.org/entity/Q286206,RatDVD
http://www.wikidata.org/entity/Q352571,European Data Format
http://www.wikidata.org/entity/Q475488,EPUB
http://www.wikidata.org/entity/Q16530692,BED
http://www.wikidata.org/entity/Q164388,IBM Generalized Markup Language
http://www.wikidata.org/entity/Q264627,Glulx
http://www.wikidata.org/entity/Q295711,Windows Animated Cursor
http://www.wikidata.org/entity/Q372626,Theora
http://www.wikidata.org/entity/Q376852,Extended Module
http://www.wikidata.org/entity/Q188199,Ogg
http://www.wikidata.org/entity/Q1388170,Value Change Dump
http://www.wikidata.org/entity/Q278934,Shapefile
http://www.wikidata.org/entity/Q184473,OpenDocument
http://www.wikidata.org/entity/Q261907,eXperimental Computing Facility
http://www.wikidata.org/entity/Q268201,Wireless Markup Language
http://www.wikidata.org/entity/Q284651,iCalendar
http://www.wikidata.org/entity/Q334677,DjVu
http://www.wikidata.org/entity/Q307510,passwd
http://www.wikidata.org/entity/Q479833,batch file
http://www.wikidata.org/entity/Q201093,RealAudio
http://www.wikidata.org/entity/Q15837131,Nuppelvideo
http://www.wikidata.org/entity/Q290768,Business Process Modeling Language
http://www.wikidata.org/entity/Q305976,deb
http://www.wikidata.org/entity/Q305941,vCard
http://www.wikidata.org/entity/Q360194,Adobe Type 1 ASCII Font Metrics
http://www.wikidata.org/entity/Q371784,FlashPix
http://www.wikidata.org/entity/Q380319,Dynamic-link library
http://www.wikidata.org/entity/Q388116,Electronic Design Interchange Format
http://www.wikidata.org/entity/Q2581328,Digital Cinema Package
http://www.wikidata.org/entity/Q162839,xz
http://www.wikidata.org/entity/Q217570,Waveform Audio File Format
http://www.wikidata.org/entity/Q287315,reStructuredText
http://www.wikidata.org/entity/Q361923,Lossless predictive audio compression
http://www.wikidata.org/entity/Q379770,AVCHD
http://www.wikidata.org/entity/Q382011,Program information file
http://www.wikidata.org/entity/Q1884715,Video Object
http://www.wikidata.org/entity/Q2623363,ANSI art
http://www.wikidata.org/entity/Q3273017,Motion JPEG 2000
http://www.wikidata.org/entity/Q27895063,Windows Media Video
http://www.wikidata.org/entity/Q8042305,Extensible Music Format
http://www.wikidata.org/entity/Q27196933,EPUB 3
http://www.wikidata.org/entity/Q5301,TeX
http://www.wikidata.org/entity/Q8811,HTML
http://www.wikidata.org/entity/Q29435,Dolby TrueHD
http://www.wikidata.org/entity/Q48940,RDF/XML
http://www.wikidata.org/entity/Q32061,XSL
http://www.wikidata.org/entity/Q42332,Portable Document Format
http://www.wikidata.org/entity/Q44044,N-Triples
http://www.wikidata.org/entity/Q47607,SQL
http://www.wikidata.org/entity/Q2063,JavaScript Object Notation
http://www.wikidata.org/entity/Q56230180,EPUB 2
http://www.wikidata.org/entity/Q2053,HTML5
http://www.wikidata.org/entity/Q634978,Enterprise Application aRchive
http://www.wikidata.org/entity/Q641388,Creole
http://www.wikidata.org/entity/Q604279,Dirac
http://www.wikidata.org/entity/Q743275,T.38
http://www.wikidata.org/entity/Q826165,Web Ontology Language
http://www.wikidata.org/entity/Q843084,Microsoft Document Imaging Format
http://www.wikidata.org/entity/Q904680,Multiple-image Network Graphics
http://www.wikidata.org/entity/Q926165,Geography Markup Language
http://www.wikidata.org/entity/Q930281,Windows thumbnail cache
http://www.wikidata.org/entity/Q1069215,Hierarchical Data Format
http://www.wikidata.org/entity/Q784695,ZIM
http://www.wikidata.org/entity/Q1155804,DTBook
http://www.wikidata.org/entity/Q1079778,SIS
http://www.wikidata.org/entity/Q507339,Web Application Description Language
http://www.wikidata.org/entity/Q572649,Intel HEX
http://www.wikidata.org/entity/Q681524,XML Shareable Playlist Format
http://www.wikidata.org/entity/Q751800,TrueType Font
http://www.wikidata.org/entity/Q777561,BinHex
http://www.wikidata.org/entity/Q901031,Device independent file format
http://www.wikidata.org/entity/Q904873,Cryptographic Message Syntax
http://www.wikidata.org/entity/Q977900,Open XML Paper Specification
http://www.wikidata.org/entity/Q1035647,Card Verifiable Certificate
http://www.wikidata.org/entity/Q1068805,.properties
http://www.wikidata.org/entity/Q1116060,Common Data Format
http://www.wikidata.org/entity/Q1124477,Efficient XML Interchange
http://www.wikidata.org/entity/Q1143961,JBIG2
http://www.wikidata.org/entity/Q947746,SREC
http://www.wikidata.org/entity/Q524090,MT9
http://www.wikidata.org/entity/Q548264,XML Metadata Interchange
http://www.wikidata.org/entity/Q621277,Apple Lossless
http://www.wikidata.org/entity/Q667761,GEDCOM
http://www.wikidata.org/entity/Q731135,Microsoft Management Console
http://www.wikidata.org/entity/Q737207,RealVideo
http://www.wikidata.org/entity/Q753666,GRIB
http://www.wikidata.org/entity/Q831087,Geographic Data Files
http://www.wikidata.org/entity/Q921895,BBeB
http://www.wikidata.org/entity/Q935809,comma-separated values
http://www.wikidata.org/entity/Q939636,CorelDRAW Document
http://www.wikidata.org/entity/Q979630,Industry Foundation Classes
http://www.wikidata.org/entity/Q1027882,Short Payment Descriptor
http://www.wikidata.org/entity/Q1067761,Windows Media Audio 9 Lossless
http://www.wikidata.org/entity/Q1192568,.sys
http://www.wikidata.org/entity/Q535473,PCX
http://www.wikidata.org/entity/Q603967,Digital Asset Exchange
http://www.wikidata.org/entity/Q723030,AsciiDoc
http://www.wikidata.org/entity/Q900927,DOT language
http://www.wikidata.org/entity/Q923990,RIS
http://www.wikidata.org/entity/Q945923,Web application ARchive
http://www.wikidata.org/entity/Q954199,MHTML
http://www.wikidata.org/entity/Q957977,Report Definition Language
http://www.wikidata.org/entity/Q1027477,Caltech Intermediate Form
http://www.wikidata.org/entity/Q1069211,Chemical Markup Language
http://www.wikidata.org/entity/Q1122075,Computable Document Format
http://www.wikidata.org/entity/Q1143208,Cue sheet
http://www.wikidata.org/entity/Q1154755,ISAM
http://www.wikidata.org/entity/Q1165116,Perl module
http://www.wikidata.org/entity/Q673906,Simple Standards-Based Slide Show System
http://www.wikidata.org/entity/Q722609,Machine-Readable Cataloging
http://www.wikidata.org/entity/Q726218,XML User Interface Language
http://www.wikidata.org/entity/Q750657,Quicken Interchange Format
http://www.wikidata.org/entity/Q795136,Alembic
http://www.wikidata.org/entity/Q824708,Citation Style Language
http://www.wikidata.org/entity/Q919226,MPEG-1 Audio Layer I
http://www.wikidata.org/entity/Q967056,SoundFont
http://www.wikidata.org/entity/Q1023647,Microsoft Compiled HTML Help
http://www.wikidata.org/entity/Q1075962,RealMedia
http://www.wikidata.org/entity/Q629039,JBIG
http://www.wikidata.org/entity/Q1120915,Compact Disc Audio track
http://www.wikidata.org/entity/Q762694,PostScript Printer Description
http://www.wikidata.org/entity/Q821830,SYmbolic LinK
http://www.wikidata.org/entity/Q836370,OPML
http://www.wikidata.org/entity/Q918221,Web Open Font Format
http://www.wikidata.org/entity/Q921122,Java archive
http://www.wikidata.org/entity/Q959950,eXtensible Business Reporting Language
http://www.wikidata.org/entity/Q1194435,MPEG-2 transport stream
http://www.wikidata.org/entity/Q597450,Shorten
http://www.wikidata.org/entity/Q544812,WavPack
http://www.wikidata.org/entity/Q616714,Initial Graphics Exchange Specification
http://www.wikidata.org/entity/Q634982,Open Financial Exchange
http://www.wikidata.org/entity/Q638823,Arden syntax
http://www.wikidata.org/entity/Q672985,Sun Microsystems audio file
http://www.wikidata.org/entity/Q747906,OpenRaster
http://www.wikidata.org/entity/Q844253,Timed Text
http://www.wikidata.org/entity/Q857512,Smacker video
http://www.wikidata.org/entity/Q940967,Musepack
http://www.wikidata.org/entity/Q974182,Universal 3D
http://www.wikidata.org/entity/Q986448,High-Efficiency Advanced Audio Coding
http://www.wikidata.org/entity/Q1050471,Property list
http://www.wikidata.org/entity/Q1063976,Truevision TGA
http://www.wikidata.org/entity/Q1072180,Synchronized Multimedia Integration Language
http://www.wikidata.org/entity/Q1134089,world file
http://www.wikidata.org/entity/Q1144005,WinHelp
http://www.wikidata.org/entity/Q627554,Certificate signing request
http://www.wikidata.org/entity/Q641213,XBEL
http://www.wikidata.org/entity/Q719519,Forsyth–Edwards Notation
http://www.wikidata.org/entity/Q741654,DirectDraw Surface
http://www.wikidata.org/entity/Q1066897,LDAP Data Interchange Format
http://www.wikidata.org/entity/Q1141412,INI file
http://www.wikidata.org/entity/Q684554,autorun.inf
http://www.wikidata.org/entity/Q1052000,qcow
http://www.wikidata.org/entity/Q1213743,NRG
http://www.wikidata.org/entity/Q1224812,Digital Speech Standard
http://www.wikidata.org/entity/Q1228359,Disc Description Protocol
http://www.wikidata.org/entity/Q1238229,STereoLithography
http://www.wikidata.org/entity/Q1269709,PHP Archive
http://www.wikidata.org/entity/Q1589482,JT
http://www.wikidata.org/entity/Q1485017,GDSII stream format
http://www.wikidata.org/entity/Q1485172,GENealogical inDEX
http://www.wikidata.org/entity/Q1906834,Q1906834
http://www.wikidata.org/entity/Q1537885,Precision Graphics Markup Language
http://www.wikidata.org/entity/Q1569639,Interchange File Format
http://www.wikidata.org/entity/Q1653591,iFrame
http://www.wikidata.org/entity/Q1949770,X Windows system window dump
http://www.wikidata.org/entity/Q1970847,Two-line element set
http://www.wikidata.org/entity/Q2044200,PICT
http://www.wikidata.org/entity/Q2248872,Open eBook
http://www.wikidata.org/entity/Q2070849,MusicDNA
http://www.wikidata.org/entity/Q2207671,SQX
http://www.wikidata.org/entity/Q1952321,Multi Picture Object
http://www.wikidata.org/entity/Q1936828,WAD
http://www.wikidata.org/entity/Q2011664,Object File Format
http://www.wikidata.org/entity/Q1343954,Sitemaps
http://www.wikidata.org/entity/Q1376385,Extended display identification data
http://www.wikidata.org/entity/Q1422885,MrSID
http://www.wikidata.org/entity/Q1424987,Notation3
http://www.wikidata.org/entity/Q1573599,Haml
http://www.wikidata.org/entity/Q1593782,FASTA format
http://www.wikidata.org/entity/Q1886335,Maker Interchange Format
http://www.wikidata.org/entity/Q2043681,PAK
http://www.wikidata.org/entity/Q2071720,Rwx
http://www.wikidata.org/entity/Q2145498,Requirements Interchange Format
http://www.wikidata.org/entity/Q1258721,NFO
http://www.wikidata.org/entity/Q1228770,Disk Masher System
http://www.wikidata.org/entity/Q1246497,Maildir
http://www.wikidata.org/entity/Q1341482,OpenEXR
http://www.wikidata.org/entity/Q1411109,FictionBook
http://www.wikidata.org/entity/Q1502796,GeoTIFF
http://www.wikidata.org/entity/Q1676678,JPEG Network Graphics
http://www.wikidata.org/entity/Q1817318,X BitMap
http://www.wikidata.org/entity/Q1887604,X PixMap
http://www.wikidata.org/entity/Q2193155,Java class file
http://www.wikidata.org/entity/Q1196547,Design Web Format
http://www.wikidata.org/entity/Q1328134,InkML
http://www.wikidata.org/entity/Q1459344,Open Media Framework Interchange
http://www.wikidata.org/entity/Q1461901,Scream Tracker 3 module
http://www.wikidata.org/entity/Q1545782,Smart Game Format
http://www.wikidata.org/entity/Q1570391,Uuencoding
http://www.wikidata.org/entity/Q1676669,"JPEG File Interchange Format, version 1.02"
http://www.wikidata.org/entity/Q1799609,HyTime
http://www.wikidata.org/entity/Q1882400,MacBinary
http://www.wikidata.org/entity/Q1893311,Material Exchange Format
http://www.wikidata.org/entity/Q1952708,FILE_ID.DIZ
http://www.wikidata.org/entity/Q1196805,Resource Interchange File Format
http://www.wikidata.org/entity/Q1260547,LyRiCs
http://www.wikidata.org/entity/Q1353763,WMV HD
http://www.wikidata.org/entity/Q1381134,MapInfo Interchange Format
http://www.wikidata.org/entity/Q1429108,NZB
http://www.wikidata.org/entity/Q1479886,Ink Serialized Format
http://www.wikidata.org/entity/Q1530710,Transferred Account Procedure 3
http://www.wikidata.org/entity/Q1890189,Translation Memory eXchange
http://www.wikidata.org/entity/Q1921702,Meridian Lossless Packing
http://www.wikidata.org/entity/Q1924866,Metalink
http://www.wikidata.org/entity/Q1931585,Microsoft Digital Video Recording
http://www.wikidata.org/entity/Q1970420,Simple file verification
http://www.wikidata.org/entity/Q2025611,Open Artwork System Interchange Standard
http://www.wikidata.org/entity/Q2104918,Portable Sound Format
http://www.wikidata.org/entity/Q2119595,Wavefront .obj file
http://www.wikidata.org/entity/Q1428303,Flexible Image Transport System
http://www.wikidata.org/entity/Q1228757,Apple Disk Image
http://www.wikidata.org/entity/Q1241738,M3U
http://www.wikidata.org/entity/Q1546911,Cross-Platform Installer Module
http://www.wikidata.org/entity/Q1601331,Transport-Neutral Encapsulation Format
http://www.wikidata.org/entity/Q1760748,Konqueror website archive
http://www.wikidata.org/entity/Q1810849,XLIFF
http://www.wikidata.org/entity/Q1881111,Microsoft Assistance Markup Language
http://www.wikidata.org/entity/Q1940878,Mixed Raster Content
http://www.wikidata.org/entity/Q2043942,Portable Document Format for Engineering
http://www.wikidata.org/entity/Q2190356,JPEG-LS
http://www.wikidata.org/entity/Q1227499,Direct Stream Digital
http://www.wikidata.org/entity/Q1250383,XYZ file format
http://www.wikidata.org/entity/Q1343830,Executable and Linkable Format
http://www.wikidata.org/entity/Q1362537,Quarter-inch cartridge
http://www.wikidata.org/entity/Q1370814,Amiga Module
http://www.wikidata.org/entity/Q1484072,ZIX archive
http://www.wikidata.org/entity/Q1508789,Windows Contacts
http://www.wikidata.org/entity/Q1566078,HTML Application
http://www.wikidata.org/entity/Q1587964,Harwell-Boeing file format
http://www.wikidata.org/entity/Q1601835,Standard Test Data Format
http://www.wikidata.org/entity/Q1690938,Job Definition Format
http://www.wikidata.org/entity/Q1983918,Nexus file
http://www.wikidata.org/entity/Q2001898,Notation Interchange File Format
http://www.wikidata.org/entity/Q2099055,Playstation Patch File
http://www.wikidata.org/entity/Q2138624,registry file
http://www.wikidata.org/entity/Q1315297,QuickTime VR
http://www.wikidata.org/entity/Q1340077,Encoded Archival Description
http://www.wikidata.org/entity/Q1361922,NetCDF
http://www.wikidata.org/entity/Q1437034,Photoshop Big
http://www.wikidata.org/entity/Q1530640,Audio Lossless Coding
http://www.wikidata.org/entity/Q1719183,KDE Vocabulary File
